pickup_hour,trips,total_revenue,avg_trip_distance
2007-12-05 18,1,17.0,3.0
2008-12-31 23,1,70.0,18.12
2009-01-01 00,3,85.3,5.5
2009-01-01 08,1,64.6,11.95
2009-01-01 12,1,18.4,2.13
2009-01-01 14,1,50.6,11.56
2024-12-31 20,3,60.8,2.72
2024-12-31 21,3,39.8,2.32
2024-12-31 23,15,301.0,4.11
2025-01-01 00,7344,121168.01,13.29
2025-01-01 01,8468,141337.83,3.29
2025-01-01 02,7257,109413.61,3.41
2025-01-01 03,4915,58335.51,3.44
2025-01-01 04,2918,41073.96,3.83
2025-01-01 05,1429,23179.54,4.72
2025-01-01 06,1220,24637.23,6.04
2025-01-01 07,1116,22889.96,5.81
2025-01-01 08,1116,24665.15,78.23
2025-01-01 09,1524,29147.63,4.52
2025-01-01 10,2289,44142.31,4.52
2025-01-01 11,3228,54886.94,3.96
2025-01-01 12,4087,73802.2,3.99
2025-01-01 13,4770,84324.54,3.78
2025-01-01 14,5057,95562.55,3.98
2025-01-01 15,5025,93413.33,3.9
2025-01-01 16,4587,92455.56,4.06
2025-01-01 17,4737,88548.41,3.91
2025-01-01 18,4317,77031.18,20.01
2025-01-01 19,3717,71204.32,4.08
2025-01-01 20,3331,62999.63,4.21
2025-01-01 21,3264,63354.12,4.37
2025-01-01 22,2707,55467.41,4.79
2025-01-01 23,1765,40020.58,5.6
2025-01-02 00,1051,23695.91,5.76
2025-01-02 01,436,8425.98,4.74
2025-01-02 02,268,4341.97,4.24
2025-01-02 03,220,5101.21,5.41
2025-01-02 04,277,7713.76,7.19
2025-01-02 05,624,18027.98,7.39
2025-01-02 06,1341,31816.58,5.85
2025-01-02 07,2163,42125.01,4.3
2025-01-02 08,3021,54807.61,3.57
2025-01-02 09,3779,66911.94,3.43
2025-01-02 10,4394,81652.18,3.73
2025-01-02 11,4825,88993.34,3.5
2025-01-02 12,5280,95914.86,3.22
2025-01-02 13,5972,113476.77,3.33
2025-01-02 14,6344,123581.11,3.61
